iteration,timestamp_utc,config_hash,config_path,best_model_hash,accepted,global_step,iter_time_s,replay_positions,consecutive_rejections,best_model,eval_vs_best_wr,eval_vs_best_margin,eval_vs_mcts_wr,train_grad_norm,train_kl_divergence,train_ownership_accuracy,train_ownership_loss,train_policy_accuracy,train_policy_entropy,train_policy_loss,train_policy_top5_accuracy,train_score_loss,train_step_skip_rate,train_total_loss,train_value_loss,train_value_mse,selfplay_avg_game_length,selfplay_avg_num_legal,selfplay_avg_policy_entropy,selfplay_avg_redundancy,selfplay_avg_root_q,selfplay_avg_top1_prob,selfplay_games_per_minute,selfplay_generation_time,selfplay_num_games,selfplay_num_positions,selfplay_p0_wins,selfplay_p1_wins,selfplay_unique_positions
0,2026-02-25T00:09:03.724269Z,ecc4ea53266a,configs/config_best.yaml,79caf34fe966749c,True,70,811.0,38191,0,runs\patchwork_production\committed\iter_000\iteration_000.pt,,,,1.9775930174759457,0.09958335874336106,0.7697335626397814,0.4968938312360219,0.34629185284887043,2.674489988599505,2.6760697160448346,0.465214844260897,0.0694527396666152,0.0,3.15961400781359,0.3881743750401906,0.3881743750401906,42.434444444444445,97.92707364124851,2.6500817993405277,0.1494353062999836,0.0,0.35471194077719453,75.17514194016678,718.3225545883179,900,38191,433,467,32377
1,2026-02-25T00:37:06.467296Z,ecc4ea53266a,configs/config_best.yaml,61d83593d1d779e4,True,208,1679.5,76611,0,runs\patchwork_production\committed\iter_001\iteration_001.pt,0.0,0.0,,1.0877212190973586,0.2715787009700485,0.8271182036918143,0.3386391621568928,0.3960055484287981,2.710896550745204,2.712438213652459,0.5508507265560869,0.041276393836175186,0.0,3.054170658622963,0.2785536303468372,0.2785536303468372,42.68888888888889,99.17069082442231,2.3534884586099896,0.15328345973276186,0.004821856740492207,0.3693748231525716,34.62445411132361,1559.5913751125336,900,38420,463,437,32418
2,2026-02-25T01:04:26.093815Z,ecc4ea53266a,configs/config_best.yaml,077d796cc4ee5a1d,True,412,1636.4,113488,0,runs\patchwork_production\committed\iter_002\iteration_002.pt,0.0,0.0,,0.7523996660522386,0.31388686334385596,0.8306705530952005,0.33124683432134927,0.37224223406291473,2.7780801385056737,2.778039328023499,0.5391922224970425,0.03913224214578376,0.0,3.1196174715079517,0.2801514460760004,0.2801514460760004,40.974444444444444,106.66709166597512,2.5816318954813897,0.11313336252174129,0.04511382902093706,0.3530157000345473,35.80289571651664,1508.2578914165497,900,36877,465,435,32619
3,2026-02-25T01:33:59.578077Z,ecc4ea53266a,configs/config_best.yaml,42ef41365c1d9b5e,True,686,1770.3,151828,0,runs\patchwork_production\committed\iter_003\iteration_003.pt,0.0,0.0,,0.6730841006675776,0.3182167625122697,0.8347258726610755,0.3251685255417859,0.39332951833731933,2.781701288084044,2.781850770442155,0.5740036081223592,0.03669163457587035,0.0,3.1352825364927304,0.2936489881716505,0.2936489881716505,42.6,103.24046387951117,2.527454995010612,0.12435050490739268,-0.019568471289745405,0.3623354264651509,33.14392699365144,1629.257752418518,900,38340,464,436,33478
4,2026-02-25T02:01:53.979491Z,ecc4ea53266a,configs/config_best.yaml,ab6fd6450715b95a,True,1026,1671.1,189199,0,runs\patchwork_production\committed\iter_004\iteration_004.pt,0.0,0.0,,0.5588874614852316,0.3227994652355418,0.836126773147022,0.3235374291153515,0.4080861382624682,2.7975227994077345,2.7972131602904375,0.5983984742094488,0.03589933060986154,0.0,3.160414763057933,0.3039011891273891,0.3039011891273891,41.52333333333333,105.54135238801304,2.570580721807732,0.11534247605422093,0.01577330243140978,0.3538476621766977,35.44100142953226,1523.658977508545,900,37371,461,439,32970
5,2026-02-25T02:29:56.685072Z,ecc4ea53266a,configs/config_best.yaml,472f6d3d233727f3,True,1434,1679.4,226825,0,runs\patchwork_production\committed\iter_005\iteration_005.pt,0.0,0.0,,0.4701682642540511,0.32191992083600923,0.8379756397768563,0.32127919311032577,0.4255735789443932,2.7986139696018366,2.798370152127509,0.623163609674164,0.035216037782055204,0.0,3.164475318263559,0.30734847507932606,0.30734847507932606,41.806666666666665,107.09481653466077,2.53601476966346,0.11617295989002502,0.018175272210425485,0.3615409196505363,35.30717601765394,1529.43412899971,900,37626,447,453,33162
6,2026-02-25T02:58:13.904236Z,ecc4ea53266a,configs/config_best.yaml,d86a6bb66b12d679,True,1910,1694.0,264612,0,runs\patchwork_production\committed\iter_006\iteration_006.pt,0.0,0.0,,0.44625045775490646,0.3194521967352939,0.8400639631167179,0.31883295406313505,0.44038012335781285,2.796231025908174,2.79624479157584,0.6428200076608097,0.034882191803400256,0.0,3.1647022877420694,0.31016789752395213,0.31016789752395213,41.98555555555556,107.31336890335123,2.535775455466904,0.11476543171174652,-0.006305258313658978,0.3604857090110499,35.27397545294549,1530.8736627101898,900,37787,432,468,33367
7,2026-02-25T03:38:22.330223Z,ecc4ea53266a,configs/config_best.yaml,ce1db597afa7b75c,True,2450,2405.1,302517,0,runs\patchwork_production\committed\iter_007\iteration_007.pt,0.0,0.0,,0.41553418238957723,0.31867758090849274,0.8418772216196413,0.3168781435600033,0.45280011743307114,2.787562999460432,2.7875834125059624,0.6591993676291572,0.03453889364652611,0.0,3.1553019748793707,0.30982516529383486,0.30982516529383486,42.11666666666667,106.27708176035489,2.462082285828383,0.11346684399760922,0.006854359356876315,0.3753492085861012,25.414825926446532,2124.7440433502197,900,37905,462,438,33522
8,2026-02-25T04:17:19.648670Z,ecc4ea53266a,configs/config_best.yaml,d6447ca39f4d77fd,True,2990,2334.1,302365,0,runs\patchwork_production\committed\iter_008\iteration_008.pt,0.0,0.0,,0.4181859024144985,0.33221659345759286,0.844741795901899,0.31385953271830525,0.47601326339774663,2.7839560897262006,2.7835958449928846,0.6950891033366875,0.034330899258040726,0.0,3.160498198756465,0.31952414948631214,0.31952414948631214,42.26555555555556,108.819008228018,2.5046808404496415,0.12013358659383513,-0.0018252652528154918,0.36651867531739385,25.848162421654223,2089.1233627796173,900,38039,443,457,33368
9,2026-02-25T04:48:49.369693Z,ecc4ea53266a,configs/config_best.yaml,32a516bcf085a1d3,True,3530,1886.5,301940,0,runs\patchwork_production\committed\iter_009\iteration_009.pt,0.0,0.0,,0.4067203022815563,0.3152289257005409,0.8474503336129365,0.3112121530705028,0.49152975645330216,2.7781102895736693,2.7774121668603686,0.713244761912911,0.03387119390277399,0.0,3.161586012222149,0.32733065844685943,0.32733065844685943,42.21666666666667,107.71143970512465,2.4187339608762835,0.11633065489628368,0.004412640896389417,0.38262910623978263,32.92192371081628,1640.244369506836,900,37995,458,442,33492
