step_or_iteration,tag,value
0,buffer/num_iterations,1.0
1,buffer/num_iterations,2.0
2,buffer/num_iterations,3.0
3,buffer/num_iterations,4.0
4,buffer/num_iterations,5.0
5,buffer/num_iterations,6.0
6,buffer/num_iterations,7.0
7,buffer/num_iterations,8.0
8,buffer/num_iterations,8.0
9,buffer/num_iterations,8.0
10,buffer/num_iterations,8.0
11,buffer/num_iterations,8.0
12,buffer/num_iterations,8.0
13,buffer/num_iterations,8.0
14,buffer/num_iterations,8.0
15,buffer/num_iterations,8.0
16,buffer/num_iterations,8.0
17,buffer/num_iterations,8.0
18,buffer/num_iterations,8.0
19,buffer/num_iterations,8.0
20,buffer/num_iterations,8.0
21,buffer/num_iterations,8.0
22,buffer/num_iterations,8.0
23,buffer/num_iterations,8.0
24,buffer/num_iterations,8.0
0,buffer/total_positions,38191.0
1,buffer/total_positions,76611.0
2,buffer/total_positions,113488.0
3,buffer/total_positions,151828.0
4,buffer/total_positions,189199.0
5,buffer/total_positions,226825.0
6,buffer/total_positions,264612.0
7,buffer/total_positions,302517.0
8,buffer/total_positions,302365.0
9,buffer/total_positions,301940.0
10,buffer/total_positions,303130.0
11,buffer/total_positions,302814.0
12,buffer/total_positions,303840.0
13,buffer/total_positions,304023.0
14,buffer/total_positions,304250.0
15,buffer/total_positions,304619.0
16,buffer/total_positions,304776.0
17,buffer/total_positions,305034.0
18,buffer/total_positions,305144.0
19,buffer/total_positions,305276.0
20,buffer/total_positions,305004.0
21,buffer/total_positions,305562.0
22,buffer/total_positions,305993.0
23,buffer/total_positions,306241.0
24,buffer/total_positions,306608.0
1,eval/score_margin_vs_best,0.0
2,eval/score_margin_vs_best,0.0
3,eval/score_margin_vs_best,0.0
4,eval/score_margin_vs_best,0.0
5,eval/score_margin_vs_best,0.0
6,eval/score_margin_vs_best,0.0
7,eval/score_margin_vs_best,0.0
8,eval/score_margin_vs_best,0.0
9,eval/score_margin_vs_best,0.0
10,eval/score_margin_vs_best,0.0
11,eval/score_margin_vs_best,0.0
12,eval/score_margin_vs_best,0.0
13,eval/score_margin_vs_best,0.0
14,eval/score_margin_vs_best,0.0
15,eval/score_margin_vs_best,0.0
16,eval/score_margin_vs_best,0.0
17,eval/score_margin_vs_best,0.0
18,eval/score_margin_vs_best,0.0
19,eval/score_margin_vs_best,0.0
