iteration,epoch,epoch_time_s,loss,pol_loss,val_loss,own_loss,own_acc_pct,pol_acc_pct,top5_pct,val_mse,grad
0,1,54.4,3.2751,2.6886,0.4655,0.6287,72.3,35.1,46.9,0.4655,2.474
0,2,32.8,3.0441,2.6635,0.3108,0.365,81.7,34.2,46.2,0.3108,1.481
1,1,60.5,3.0701,2.718,0.2877,0.3445,82.5,38.6,53.7,0.2877,1.173
1,2,44.5,3.0382,2.7069,0.2694,0.3328,83.0,40.6,56.5,0.2694,1.003
2,1,61.7,3.1248,2.7799,0.2832,0.3325,83.0,37.0,53.4,0.2832,0.771
2,2,47.3,3.1144,2.7762,0.2771,0.33,83.1,37.4,54.5,0.2771,0.734
3,1,66.5,3.1402,2.783,0.2972,0.3258,83.4,39.2,57.2,0.2972,0.721
3,2,50.6,3.1303,2.7807,0.2901,0.3245,83.5,39.5,57.6,0.2901,0.625
4,1,60.8,3.1663,2.7993,0.3075,0.324,83.6,40.7,59.6,0.3075,0.6
4,2,57.1,3.1546,2.7951,0.3003,0.3231,83.6,40.9,60.1,0.3003,0.518
5,1,61.1,3.17,2.8004,0.3108,0.3217,83.8,42.5,62.2,0.3108,0.494
5,2,53.1,3.1589,2.7964,0.3039,0.3209,83.8,42.6,62.5,0.3039,0.446
6,1,63.7,3.1686,2.7977,0.3126,0.3191,84.0,44.0,64.1,0.3126,0.442
6,2,57.9,3.1608,2.7948,0.3077,0.3186,84.0,44.1,64.5,0.3077,0.451
7,1,91.9,3.1593,2.7884,0.3129,0.3169,84.2,45.3,65.9,0.3129,0.427
7,2,74.7,3.1513,2.7867,0.3067,0.3168,84.2,45.3,66.0,0.3067,0.404
8,1,71.1,3.1653,2.7848,0.3231,0.314,84.5,47.6,69.4,0.3231,0.42
8,2,62.1,3.1557,2.7824,0.3159,0.3137,84.5,47.6,69.6,0.3159,0.417
9,1,73.0,3.1669,2.7792,0.3309,0.3113,84.7,49.1,71.3,0.3309,0.402
9,2,60.1,3.1563,2.7757,0.3238,0.3112,84.8,49.2,71.4,0.3238,0.411
10,1,61.9,3.1309,2.7437,0.3312,0.3073,85.0,51.6,74.2,0.3312,0.393
10,2,64.5,3.1224,2.741,0.3254,0.3074,85.0,51.6,74.2,0.3254,0.448
11,1,84.1,3.1109,2.7261,0.3287,0.3064,85.1,52.7,75.6,0.3287,0.41
11,2,80.0,3.0987,2.723,0.3198,0.3064,85.1,52.8,75.8,0.3198,0.409
12,1,271.8,3.0831,2.7053,0.3222,0.3045,85.2,53.7,76.8,0.3222,0.425
12,2,141.8,3.0718,2.7025,0.3136,0.3045,85.2,53.9,76.8,0.3136,0.43
13,1,92.9,3.0559,2.6841,0.3161,0.3041,85.3,54.0,77.3,0.3161,0.411
13,2,76.6,3.0438,2.681,0.3073,0.304,85.3,54.1,77.3,0.3073,0.423
14,1,71.6,3.0334,2.6656,0.3121,0.3034,85.3,54.6,77.8,0.3121,0.438
14,2,73.6,3.0203,2.6638,0.3011,0.3033,85.3,54.5,77.7,0.3011,0.415
15,1,64.6,3.0187,2.6568,0.3061,0.3038,85.3,54.7,78.1,0.3061,0.426
15,2,62.1,3.0058,2.6546,0.2956,0.3039,85.3,54.7,78.1,0.2956,0.415
16,1,68.7,2.9975,2.6398,0.302,0.3034,85.3,55.0,78.3,0.302,0.427
16,2,60.7,2.9835,2.6371,0.2909,0.3032,85.3,55.0,78.4,0.2909,0.415
17,1,61.5,2.9842,2.6343,0.294,0.3041,85.3,54.9,78.2,0.294,0.416
17,2,59.1,2.9731,2.6328,0.2845,0.3041,85.3,55.0,78.2,0.2845,0.437
18,1,67.1,2.9759,2.6315,0.2883,0.3049,85.2,55.0,78.3,0.2883,0.417
18,2,58.6,2.9647,2.63,0.2786,0.3049,85.2,54.9,78.2,0.2786,0.442
19,1,59.7,2.9755,2.6384,0.2803,0.3061,85.1,55.0,78.4,0.2803,0.411
19,2,58.1,2.9586,2.6343,0.2678,0.306,85.1,55.0,78.4,0.2678,0.408
20,1,64.9,2.971,2.6374,0.2766,0.3064,85.1,55.1,78.5,0.2766,0.416
20,2,58.0,2.9575,2.6362,0.2645,0.3064,85.1,55.0,78.5,0.2645,0.411
21,1,58.4,2.97,2.6412,0.2716,0.3075,85.0,55.2,78.7,0.2716,0.417
21,2,63.2,2.9595,2.6408,0.2615,0.3077,85.0,55.2,78.6,0.2615,0.446
22,1,59.0,2.9743,2.6462,0.2704,0.3089,84.9,55.3,78.7,0.2704,0.439
