iteration,epoch,epoch_time_s,loss,pol_loss,val_loss,own_loss,own_acc_pct,pol_acc_pct,top5_pct,val_mse,grad
25,1,281.0,2.987,2.6793,0.2487,0.3136,84.5,55.7,79.2,0.2487,0.389
25,2,149.8,2.974,2.6777,0.2375,0.3135,84.5,55.6,79.2,0.2375,0.4
26,1,103.9,2.9884,2.6843,0.245,0.314,84.5,55.7,79.1,0.245,0.395
26,2,79.4,2.977,2.6834,0.2345,0.3141,84.5,55.5,79.0,0.2345,0.408
27,1,77.0,2.9965,2.6999,0.2368,0.3166,84.3,55.5,78.9,0.2368,0.403
27,2,74.2,2.9842,2.6992,0.2255,0.3163,84.3,55.6,79.0,0.2255,0.408
28,1,67.9,2.9978,2.7059,0.2316,0.3186,84.1,55.8,78.9,0.2316,0.394
28,2,63.8,2.9841,2.7045,0.2196,0.3184,84.1,55.7,78.8,0.2196,0.413
29,1,71.2,3.0053,2.7215,0.2233,0.32,84.0,55.5,78.6,0.2233,0.403
29,2,61.4,2.9942,2.7215,0.2122,0.3199,84.0,55.5,78.6,0.2122,0.397
30,1,67.4,3.0212,2.7412,0.2189,0.3217,83.9,55.8,78.7,0.2189,0.396
30,2,61.6,3.0113,2.7416,0.2087,0.3218,83.9,55.7,78.7,0.2087,0.413
31,1,73.5,3.0379,2.7606,0.216,0.3232,83.8,55.7,78.6,0.216,0.392
31,2,59.6,3.0213,2.7581,0.2021,0.323,83.8,55.8,78.6,0.2021,0.381
32,1,62.1,3.0528,2.7824,0.2085,0.3254,83.6,55.8,78.5,0.2085,0.387
32,2,59.7,3.0392,2.7803,0.1972,0.3254,83.6,55.9,78.5,0.1972,0.374
33,1,73.2,3.0762,2.8061,0.2077,0.3273,83.4,56.0,78.5,0.2077,0.386
33,2,59.9,3.065,2.806,0.1967,0.3274,83.4,55.9,78.4,0.1967,0.391
